url,title,artist,image_link,publisher,years,description,star,tags
https://music.douban.com/subject/2995812/,We Sing. We Dance. We Steal Things.,Jason Mraz,https://img2.doubanio.com/view/subject/m/public/s2967252.jpg,Atlantic/WEA,2008/5/13,　　沉淀一年，回归简单生活，用全新能量在第三张原创专辑当中活出自我l 部落格女孩Colbie Caillat、心灵投手James Morrison诚意跨刀献声！出生自维吉尼亚的一个朴实小镇的Jason Mraz，在纽约念大学的时候主修音乐剧，有一天他拿起吉他，突然发现自己的天命，于是便在毕业之后，跑到圣地亚哥当起街头艺人。在那段时期，他和自称是灵媒的流浪汉，成为心灵伙伴，他也开始四处流浪探索人生，并在这过程当中，很幸运地遇到生命中的贵人--知名音乐人鼓手Toca Rivera，两人一同演出的精彩现场表演，也成为当时美国西岸网络间，最广为流传的行家级必备珍藏。Jason Mraz这位出色的素人歌手，在2002顺利获得唱片合约，推出首张专辑“Waiting For My Rocket To Come”，专辑一推出，随即攻下全美热门潜力榜亚军，并获得了白金...,9.1,民谣
https://music.douban.com/subject/3040149/,Viva La Vida,Coldplay,https://img9.doubanio.com/view/subject/m/public/s3054604.jpg,Capitol,2008/6/17,　　专辑的名字来自一位墨西哥艺术家Frida Kahlo给自己的一幅画的命名。　　在这张专辑制作的早期，三名乐队成员各自把对新专辑的想法都写在一张白板上，每一个人的想法都很激进前卫，最后，Chris Martin收回了他的看法。他希望以后有机会再游说他们。"我听到波诺曾经说过一句话，'乐队不应该为钱而分裂，他们应该只为了歌曲名单而分裂，'”他说，在这一点上，没有什么比这更有针对性了。”　　乐队聘请了传奇制片人Brian Eno做他们第4张专辑的制作人。并且，他们有针对性地试图排除一切外来影响。吉他手Johnny Buckland说： "我们感觉自己的头三张专辑是一个三部曲，我们已经完成了。因此，我们想要做一些不同的。" 乐队让记者听了一下他们正在制作的歌曲小样，大多数听起来令人耳目一新， 完全不同于他们以往的热门歌曲“Clocks...,8.7,摇滚
https://music.douban.com/subject/1427374/,华丽的冒险,陈绮贞,https://img9.doubanio.com/view/subject/m/public/s1441645.jpg,艾迴唱片,2005/9/23,　　2004和2005年的交接時，綺貞號召了目前最頂尖也最有熱情創意的幾位音樂人，將這三年當中綺貞的創作用兩個禮拜的時間同步錄音完成，遠赴北京錄製弦樂，再到美國杉磯邀請到替Pink Floyd 的唱片做母帶後期處理的大師 Dough Sax 來為專輯做最後最完美的呈現過程中有所顛覆，有所啟發，一路醞釀完成了這份充滿藝術氣質的禮物，從綺貞的指尖出發，經過了這麼長的時間，這麼遠的旅行，睽違三年全新創作，勢必造成樂壇與歌迷熱烈討論與期待。,8.9,流行
https://music.douban.com/subject/1403307/,范特西,周杰伦,https://img2.doubanio.com/view/subject/m/public/s3750422.jpg,BMG,2001/9/14,　　周杰伦的出现，让人们相信台湾创造本土R&B的可能性；周杰伦的走红，彻底地宣布音乐新声代的来临。作曲、填词、编曲、演唱样样俱精的周杰伦，首张同名专辑《Jay杰伦》推出后，销售势如破竹，不单有“音乐新人王”称号，他自成一格的R&B演绎方法，更被誉为陶吉吉的劲敌。 顶着台湾金曲奖“最佳唱片”、“最佳制作人”的光环，周杰伦的第二张专辑《Fantasy(范特西)》终于在万千歌迷的期待中推出。这次杰伦依然一手包办所有作品的作曲，词的部份则延续第一张专辑的徐若？、方文山及他本人的铁三角。曲风较上张专辑更为的广泛，除了抒情歌及R&B外，杰伦还首次在歌中加入他在音乐班主修的大提琴，更有类似林普巴兹提特的摇滚及Hip-Hop曲风。 如今身价过亿新台币的杰伦在与BMG续约两张专辑的发行权后，有了更多的创作空间，在《范特西》中天马行空的音乐想法无处不在，就连歌名也都是令...,9.2,流行
https://music.douban.com/subject/3259411/,後。青春期的詩,五月天,https://img1.doubanio.com/view/subject/m/public/s3316597.jpg,相信音樂,2008/10/23,"　　五个""憨人""闭关半年 熬出睽违两年爆肝专辑‘作品七号’　　要让全世界靠罗马拼音大合唱闽南语 首波坚持主打正港台味‘出头天’　　密码007 代号‘作品七号’　　五月天第七张新专辑保密防谍 就怕爆肝心血毁于一旦　　自两年前的‘为爱而生’之后,迟迟未推出新专辑的第一天团五月天，在今年五月在台中以‘回到地球表面’演唱会为世界巡回演唱之后，近半年来以几乎闭关的姿态为新专辑催生,日前终于大功告成、并赶在""蔷蜜""台风来临前夕,五人亲自带着心血结晶远赴东京进行最后母带后制工程。而五月天出关之后的第一次全员到齐，马上就要面对他们演唱历程中的另一个里程碑—10/12受国际天团联合公园之邀，以亚洲第一天团的代表性,两大天团于上海携手举办‘乐无疆．爱无界’赈灾演唱会,不只被视为华语乐坛年度盛事,也创下了不到一年之内,三度跃上上海八...",8.8,摇滚
https://music.douban.com/subject/5958397/,是时候,孙燕姿,https://img1.doubanio.com/view/subject/m/public/s4653287.jpg,美妙音乐,2011/3/8,　　花了4年　　默默的和自己打了一仗　　征服对音乐的完美要求　　终于等到　　燕姿 凯旋归来　　淬炼4年 千呼万唤 万众期待　　孙燕姿2011最新专辑「是时候」　　收录孙燕姿亲自制作 慢工精凋细琢 最燕姿的十首全新中文歌曲　　震撼全新曲风 感人温暖情歌 开心跳动摇滚　　最动心强打歌曲　　[耳目一 新惊艳主打] 世说心语　　我想笑 我想爱 想奔跑 想拥抱　　心自由了 才能真的快乐　　新世纪空灵辽阔曲风 冲击心跳的低音节奏　　孙燕姿蛰伏四年 探索内心的深刻体悟　　震撼心灵 耳目一新全新感受　　[温暖动人传唱主打] 当冬夜渐暖　　一百次相爱只要有一次的绚烂 下一次会更勇敢　　重要的...,8.6,流行
https://music.douban.com/subject/3184419/,Lenka,Lenka,https://img9.doubanio.com/view/subject/m/public/s3259484.jpg,Epic,2008/9/23,"　　In Sydney, Australia, Lenka was a teen actress who trained with Cate Blanchett, thereafter landing leading roles on stage, television and  indie films. A self-described 'punk-ass art school student' and vocalist/keyboardist for acclaimed indie Electronic/ambient outfit Decoder Ring.  She has flung herself into two new worlds simultaneously: she's moved to California and becom...",8.5,流行
https://music.douban.com/subject/3041487/,Start from Here,王若琳,https://img1.doubanio.com/view/subject/m/public/s2874587.jpg,SONY BMG唱片,2008/1/11,　　最受圈内人瞩目的新人、唱片圈期待度最高的好声音！　　父亲王治平开启了joanna的音乐之门，却也带来无形压力Joanna曾因为父亲而放弃学吉它，但王治平老师却认为joanna必将「青出于蓝」！　　虽然Joanna和唱片公司都很不愿意「王治平老师的女儿」成为媒体介绍Joanna的制式台词，但不可讳言，身为台湾最优秀也最资深的制作人之一的女儿，对Joanna的音乐历程仍是一个影响很大的元素。因为父亲的关系，Joanna从小就听遍各种语言各种乐风各种年代的好音乐，也启发了她对音乐和创作的兴趣。　　Joanna是个左撇子，从小她就很希望能跟自己最喜爱的乐团TheBeatles的成员PaulMcCartney一样用左手弹琴创作。父亲在她12岁那年送了她一把左手用的吉它，原希望能带她走上创作之路，没想到个性好强的joanna，因...,8.7,爵士
https://music.douban.com/subject/1395089/,旅行的意义,陈绮贞,https://img2.doubanio.com/view/subject/m/public/s2617173.jpg,cheerego.com,2004/2/2,　　護照裡的郵戳越蓋越密，心情卻反而更空虛。四處蒐集的明信片，牆上貼滿的美麗風景，掩不住對你揮之不去的情感和記憶。下一站要去哪裡？　　才開始思考旅行的意義，卻想起你從來不曾說過"我愛你"…　　每一次旅程，每一段感情，我們從來說不出它真正的意義，可是那些或許酸澀或許甜美的記憶，卻一次又一次，在聆聽綺貞的歌曲時，一點一滴的被牽引出來。繼Track 1 / Sentimental Kills之後，綺貞發行了她的第二張單曲作品—Track 2 / 旅行的意義，簡約動人的旋律，寓意如詩般的歌詞，穿梭在小虎清澈明亮的木吉他撥弦聲中，我們再次聽見綺貞用歌聲訴說著一個故事，關於旅行的意義，關於回憶的點點滴滴。,9.2,流行
https://music.douban.com/subject/3390002/,太阳,陈绮贞,https://img1.doubanio.com/view/subject/m/public/s3570839.jpg,艾迴,2009/1/22,　　限量精裝版　　陳綺貞 2009全創作專輯 太陽　　如此貼近生命 如此真實而自由　　一個真誠而獨特的台灣歌手　　一張陪伴一輩子的唱片　　歷經三年沉澱反芻　　獨立製作的典範　　陳綺貞超越自我表白 、直指事物核心之作　　展現藝術追求、回歸純我　　重返創作現場的動人收音　　花的三部曲 之二　　太陽　　由兩屆金曲獎得主鍾成虎操刀製作　　葛萊美獎得主Bernie Grundman母帶後期處理　　採用樂手全live同步錄製　　勢必成為２００９樂迷熱烈討論的年度大碟　　世界越來越快　　我開始相信　　我們從中尋找的 或許是永恆　　那是一種巨大的愛　　是你的靈魂，於眾人...,8.6,流行
